NBA季后赛-东区热火PK尼克斯 西区雷霆VS小牛
韦德:不拿冠军就是失败 公牛锁联盟第1
湖人35年全胜掘金 灰熊超快船夺主场优势 小斯:林疯狂是最佳故事
中超-19:30视频播天津VS恒大 北京VS申鑫 前瞻
亚足联重罚天津7500美金+禁球迷入场 再谈判!德罗巴要求通话朱骏
申花:大牌教练蒂加纳不适合我们 阿内尔卡豪言:最男人方式赢鲁能
国安强调心态 绿城3巴西前锋或联袂 京媒议中超浮躁乱象丛生 视频
曝瓜迪奥拉已定离任 巴萨今日发布会宣布决定 评
阿布重金力劝瓜帅入切尔西 巴萨为留瓜帅开空白支票 曝光5接班人
陈江华:决赛再接再厉(图) 詹俊：点球总是英雄冢
专题-足协高官卷入反赌风暴 欧冠拜仁点球战淘汰皇马
体坛微博名人堂 | 风云榜 | NBA官方 | 国际奥委会
反赌涉案16队10球员 曝申思愿接受被定主犯 视频 特刊
卡萨诺怒斥西多夫不尊重阿帅 艾弗森抵华称有意来CBA
WTA赛李娜完胜黑马晋级8强 丁俊晖父亲:他还没到顶峰
体育局连夜买20公斤热干面 中国奥运军团办美食周
穿越!切尔西拜仁早有天命 欧冠拟剧本 欧联杯西甲会师
31岁女足前国脚弃结婚复出 龚琳娜携神曲赴英助阵奥运
逃犯托朋友买彩中9.2亿被冒领 双色球7注734万奖池5亿
专栏-杨毅:常规赛总算结束了 苏群:季后赛首轮前瞻
曼城VS曼联超炫大片 曼联10佳球 C罗梅西点球噩梦
央视欧洲杯《三味聊斋》 访谈-28日苏群聊NBA季后赛
湖人主力全休惨败于国王 尼克斯大胜锁东区第七
德克22分小牛锁定西区第七 热火收官战输奇才34分
《声色NBA》常规赛总结 10大经典比赛 超级囧事
纳什温情一幕 麦蒂滑翔暴扣 本赛季爆强回顾
西部首轮赛程：雷霆小牛打头炮 湖人30日闪亮登场
东部首轮完全赛程：公牛热火尼克斯29日凌晨出击
西部首轮对阵：雷霆硬碰小牛 湖人快船避开同半区
东部首轮对阵：尼克斯热火巨星对抗 步行者捡便宜
湖人PK掘金真别说稳赢 历史定律灭掘金必进总决赛
35年湖人季后赛碰掘金全胜 4年前横扫科比大话冲天
韦德：不拿冠军就是失败 詹皇：没拿也不意味失败
ESPN称詹皇背打三分篮板全面提高 LBJ几登峰造极
小斯:林疯狂是缩水季最佳故事 美媒:10件事可证明
艾弗森亲口承认想来中国打球 坦言正找人促成此事
科比缺席战国王放弃争夺得分王：赢得冠军最重要
NBA公布季后赛首战赛程 公牛热火雷霆领衔揭幕战
林书豪术后完成首次训练 伍帅：希望他赶上第二轮
林书豪球衣销量联盟第2超科比 球队榜公牛超湖人
米兰更衣室激烈争吵 卡萨诺怒斥西多夫不尊重阿帅
阿布重金力劝瓜迪奥拉入主 今夏3500万报价伊瓜因
视频-MV献歌欧冠 皇马巴萨米兰曼联期待从头再来
穿越了! 切尔西拜仁早有天命 欧冠大结局剧本已存
足坛十大停赛:曼联双核无缘三冠奇迹 内德维德洒泪
视频-曼联官方10佳球评选 纳尼凌波微步鲁尼穿心箭
辣妹北京车展卖车称爱中国 街头抱小七遭围观(图)
惊曝瓜迪奥拉已定离任 巴萨今发布会正式宣布决定
欧联杯-西甲会师！马竞总分5-2瓦伦 毕包3-1翻盘
欧冠视频-霸气五佳送别银河战舰 最血性皇马昂首离开
阿帅封杀AC米兰2巨星真相 巨头:胆小鬼就留在家吧
AC米兰狠哥女友被曝怀孕 与维埃里分手仅半年(图)
博阿滕恐因高层蛀虫被米兰卖 国米草签天才遭两豪门抢
曼城誓抢曼联心仪3500万先生 曼联曼城7500万转会德比
亚足联重磅罚单已无回旋余地 泰达再犯将取消主场
亚足联重罚天津赛区7500美金+亚冠末轮禁球迷入场
阿内尔卡确认乔尔无缘战鲁能 预祝切尔西欧冠夺冠
津媒曝足协倾向不对涉案队重罚 满足两条件或降级
FIFA新规对足球腐败零容忍 违规者将被清除出足坛
申花队友曝阿内尔卡豪言:用最男人的方式击败鲁能
曝申思愿接受被定为主犯 祁宏律师曾是他儿时队友
31岁前女足国脚弃当老板娘+暂缓结婚 重返绿茵场
申花揭秘解雇蒂加纳原因:他是大牌教练不适合我们
申花重启魔兽转会谈判 德罗巴要求与朱骏亲自通话
京媒议中超心浮气躁乱象丛生 杨明:打记者如黑社会
新华杨明称道德缺失致足坛腐败盛行:全民道德下降
特刊-庭审结束足坛扫黑未完 彻底反赌需多少决心?
李章洙直言换帅传闻已2年多 盼外界换位思考理解他
申花正式宣布与蒂加纳解约 官方宣布新教练组成员
反赌案第2批审理涉案16家俱乐部和10名球员一览
中超前瞻：泰达力搏恒大 鲁能青年军挑战阿内尔卡
父亲盼南勇能争取宽大处理 中国足协杯全新官网上线
4月世界围棋排名：前十名中国占据8席 李世石居首
高清-中华台北美女棋手 黑嘉嘉党希昀你更喜欢哪个
周庄杯象棋赛中华台北队就对手手机响未被判负申诉
2012APT菲律宾站落下帷幕 南非冠亚军中国玩家第三
羽联最新排名:陈金压盖德进前四 李雪芮逼近王适娴
恩师称博尔特能突破9秒50关 能阻止他的只有老天爷
权威杂志预言奥运1500自:孙杨最大热门 两对手阻击
首轮综述：中国曹宇鹏惊艳 半数种子出局冷门席卷
世锦赛7日看点:皇帝巫师巅峰对决 中国独苗再登场
丁俊晖父亲:他还没到顶峰 那球让我打也不会失误
体育局连夜买20公斤热干面 中国奥运军团办美食周
世锦赛刘闯6-10负金左手止步首轮 马奎尔5-3佩里
媒曝刘国梁透露奥运参赛名单 目标夺金想再干30年
印度羽球赛-陈金2-0轻松晋级 女单八强中国占4席
歌手龚琳娜助阵伦敦奥运 神曲《忐忑》响彻伦敦
李娜称战拉德会坚持自身打法 过往经历助其更稳定
费德勒谈重夺No.1一先决条件 回应与纳达尔不和传闻
费德勒：奥运与温网同样重要 笑称暂不考虑再生孩子
波多：Big4成功令大满贯赛让步 为低排位选手谋福利
新浪网球频道 ATP2012赛程赛果 WTA2012赛程赛果
纠结!逃犯委托朋友买彩票中9.2亿 奖金被冒领(图)
巴塞罗那赛纳达尔取31连胜 穆雷进8强将战拉奥尼奇
斯图加特赛李娜两盘完胜黑马 晋级八强将战A-拉德
双色球头奖7注734万粤辽各2注 2等28万奖池5.5亿
世界女团赛王晨星“复仇”谢依旻 中国2比1胜日本
梁文冲百龄坛冠军杯首轮+7 左手手腕旧伤复发退赛
